Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
82	1000.0	0.0	1000.0	1000.0	1000.0	100.001114	0.045969952	100.32051	99.648674	415000	4.529953e-09	0.002133665	-0.0044967616	-6.356742e-05	-0.22360374	0.0024768745	0.0404	79.0	190.8343529701233
83	1000.0	0.0	1000.0	1000.0	1000.0	100.00396	0.044484273	100.2871	99.650314	420000	-1.15484e-08	0.0020531935	-0.0054209074	-3.929762e-05	-0.24369924	0.004927277	0.0498	79.0	192.92711687088013
84	1000.0	0.0	1000.0	1000.0	1000.0	100.00129	0.04279273	100.351425	99.44434	425000	7.379055e-09	0.0018708977	-0.0048506204	-4.0603685e-05	-0.27562848	0.0023932685	0.0262	79.0	195.07987356185913
85	1000.0	0.0	1000.0	1000.0	1000.0	99.9985	0.044130232	100.279335	99.42606	430000	1.758337e-09	0.0019946953	0.012325961	-5.4772594e-05	-0.3073081	0.029730633	0.361	12.0	197.0954282283783
86	1000.0	0.0	1000.0	1000.0	1000.0	100.00692	0.04310047	100.337036	99.4593	435000	-6.496906e-09	0.0019000302	0.009693896	-0.00022498611	-0.3098551	0.022482395	0.3214	1.0	199.13899850845337
87	1000.0	0.0	1000.0	1000.0	1000.0	100.00576	0.039516315	100.26035	99.7231	440000	1.1062622e-08	0.0016364363	0.009003678	-0.00018010114	-0.31011188	0.018703572	0.2532	1.0	201.2165925502777
88	1000.0	0.0	1000.0	1000.0	1000.0	100.00593	0.042152163	100.221756	99.50201	445000	-1.27792354e-08	0.0018653938	0.01055329	-0.0003017435	-0.31036735	0.023435017	0.334	1.0	203.2997009754181
89	1000.0	0.0	1000.0	1000.0	1000.0	100.00634	0.040085338	100.308914	99.46885	450000	7.2002413e-09	0.0016562138	0.008750938	-0.00030252186	-0.31062803	0.016804913	0.2612	1.0	205.36146211624146
90	1000.0	0.0	1000.0	1000.0	1000.0	100.00509	0.037623167	100.3476	99.78325	455000	8.5115435e-09	0.0014710991	0.012704239	-0.00021840364	-0.3108836	0.025371142	0.3746	1.0	207.50111508369446
91	1000.0	0.0	1000.0	1000.0	1000.0	100.00183	0.0385512	100.29151	99.5831	460000	-1.4469027e-09	0.0015383583	0.0098983925	-0.00025699742	-0.31114584	0.02108515	0.2704	1.0	209.36373734474182
92	1000.0	0.0	1000.0	1000.0	1000.0	100.00401	0.03632343	100.20883	99.550514	465000	-5.2969904e-09	0.0013661098	0.015216168	-0.0002598738	-0.31139252	0.03410546	0.4142	1.0	211.21431064605713
93	1000.0	0.0	1000.0	1000.0	1000.0	100.00385	0.03552441	100.18576	99.79351	470000	-4.696846e-09	0.0012848843	0.018026773	-0.00023477129	-0.31163383	0.0292272	0.3786	1.0	213.11807250976562
94	1000.0	0.0	1000.0	1000.0	1000.0	100.005165	0.03565369	100.24821	99.627975	475000	-1.282692e-08	0.0013552515	0.012855819	-0.00029671728	-0.3118961	0.018628782	0.2994	1.0	215.2879135608673
95	1000.0	0.0	1000.0	1000.0	1000.0	100.00104	0.036085326	100.17486	99.634636	480000	2.2977591e-08	0.0013063388	0.007891344	-0.00032046868	-0.31214404	0.019583445	0.2856	3.0	217.43835735321045
96	1000.0	0.0	1000.0	1000.0	1000.0	99.99495	0.031600714	100.20795	99.70563	485000	-1.8119812e-09	0.001020331	0.008026956	-0.00015983131	-0.31272006	0.029229768	0.3342	3.0	219.7012655735016
97	1000.0	0.0	1000.0	1000.0	1000.0	100.00333	0.03320906	100.25044	99.61549	490000	1.1014938e-08	0.0011151654	0.012395616	-0.00016358803	-0.31337997	0.03122564	0.4046	1.0	222.2218611240387
98	1000.0	0.0	1000.0	1000.0	1000.0	100.005196	0.031519324	100.19057	99.66481	495000	1.5354157e-08	0.00103948	0.01903456	-0.00017525657	-0.31361774	0.04197415	0.445	1.0	224.49687886238098
99	1000.0	0.0	1000.0	1000.0	1000.0	100.00346	0.034456164	100.18714	99.64982	500000	5.313754e-09	0.0012894768	0.016031187	-0.00035886152	-0.31380084	0.024193937	0.3668	1.0	226.72925329208374
100	1000.0	0.0	1000.0	1000.0	1000.0	100.00507	0.03043619	100.20834	99.71077	505000	-3.9577484e-09	0.0009598156	0.010803064	-0.00019498292	-0.31398043	0.023036294	0.2942	1.0	228.76118326187134
101	1000.0	0.0	1000.0	1000.0	1000.0	99.99893	0.033891644	100.205986	99.700485	510000	-1.2159348e-09	0.0011672174	0.014847293	-0.00026153482	-0.314144	0.02650304	0.3826	35.0	230.68141627311707
